fname,lname,statType,statNum
Vijay,Blackmon,FG%,.600
Vijay,Blackmon,3PT,1
Vijay,Blackmon,3PTA,2
Vijay,Blackmon,3PT%,.500
Vijay,Blackmon,FT,0
Vijay,Blackmon,FTA,0
Vijay,Blackmon,FT%,.000
Vijay,Blackmon,PTS,7
Vijay,Blackmon,AVG,1.4
Vijay,Blackmon,OFF REB,0
Vijay,Blackmon,DEF REB,1
Vijay,Blackmon,REB,1
Vijay,Blackmon,REB/G,0.2
Vijay,Blackmon,PF,1
Vijay,Blackmon,AST,1
Vijay,Blackmon,TO,1
Vijay,Blackmon,STL,0
Vijay,Blackmon,BLK,0
Zach,McRoberts,GP,16
Zach,McRoberts,GS,5
Zach,McRoberts,MIN,275
Zach,McRoberts,MIN/G,17.2
Zach,McRoberts,FGM,6
Zach,McRoberts,FGA,19
Zach,McRoberts,FG%,.316
Zach,McRoberts,3PT,3
Zach,McRoberts,3PTA,15
Zach,McRoberts,3PT%,.200
Zach,McRoberts,FT,0
Zach,McRoberts,FTA,0
Zach,McRoberts,FT%,.000
Zach,McRoberts,PTS,15
Zach,McRoberts,AVG,0.9
Zach,McRoberts,OFF REB,4
Zach,McRoberts,DEF REB,40
Zach,McRoberts,REB,44
Zach,McRoberts,REB/G,2.8
Zach,McRoberts,PF,17
Zach,McRoberts,AST,12
Zach,McRoberts,TO,7
Zach,McRoberts,STL,13
Zach,McRoberts,BLK,0
Johnny,Jager,GP,5
Johnny,Jager,GS,0
Johnny,Jager,MIN,14
Johnny,Jager,MIN/G,2.8
Johnny,Jager,FGM,0
Johnny,Jager,FGA,2
Johnny,Jager,FG%,.000
Johnny,Jager,3PT,0
Johnny,Jager,3PTA,2
Johnny,Jager,3PT%,.000
Johnny,Jager,FT,0
Johnny,Jager,FTA,2
Johnny,Jager,FT%,.000
Johnny,Jager,PTS,0
Johnny,Jager,AVG,0.0
Johnny,Jager,OFF REB,0
Johnny,Jager,DEF REB,2
Johnny,Jager,REB,2
Johnny,Jager,REB/G,0.4
Johnny,Jager,PF,2
Johnny,Jager,AST,1
Johnny,Jager,TO,1
Johnny,Jager,STL,2
Johnny,Jager,BLK,0
Quentin,Taylor,GP,5
Quentin,Taylor,GS,0
Quentin,Taylor,MIN,7
Quentin,Taylor,MIN/G,1.4
Quentin,Taylor,FGM,0
Quentin,Taylor,FGA,1
Quentin,Taylor,FG%,.000
Quentin,Taylor,3PT,0
Quentin,Taylor,3PTA,0
Quentin,Taylor,3PT%,.000
Quentin,Taylor,FT,0
Quentin,Taylor,FTA,0
Quentin,Taylor,FT%,.000
Quentin,Taylor,PTS,0
Quentin,Taylor,AVG,0.0
Quentin,Taylor,OFF REB,0
Quentin,Taylor,DEF REB,3
Quentin,Taylor,REB,3
Quentin,Taylor,REB/G,0.6
Quentin,Taylor,PF,2
Quentin,Taylor,AST,0
Quentin,Taylor,TO,1
Quentin,Taylor,STL,1
Quentin,Taylor,BLK,0
