fname,lname,stat_type,stat_number
Race,Thompson,MIN,44
Race,Thompson,MIN/G,11.0
Race,Thompson,FGM,2
Race,Thompson,FGA,3
Race,Thompson,FG%,.667
Race,Thompson,3PT,0
Race,Thompson,3PTA,1
Race,Thompson,3PT%,.000
Race,Thompson,FT,1
Race,Thompson,FTA,2
Race,Thompson,FT%,.500
Race,Thompson,PTS,5
Race,Thompson,AVG,1.3
Race,Thompson,OFF REB,5
Race,Thompson,DEF REB,11
Race,Thompson,REB,16
Race,Thompson,REB/G,4.0
Race,Thompson,PF,3
Race,Thompson,AST,0
Race,Thompson,TO,0
Race,Thompson,STL,2
Race,Thompson,BLK,2
Zach,McRoberts,GP,19
Zach,McRoberts,GS,5
Zach,McRoberts,MIN,297
Zach,McRoberts,MIN/G,15.6
Zach,McRoberts,FGM,7
Zach,McRoberts,FGA,21
Zach,McRoberts,FG%,.333
Zach,McRoberts,3PT,4
Zach,McRoberts,3PTA,17
Zach,McRoberts,3PT%,.235
Zach,McRoberts,FT,0
Zach,McRoberts,FTA,0
Zach,McRoberts,FT%,.000
Zach,McRoberts,PTS,18
Zach,McRoberts,AVG,0.9
Zach,McRoberts,OFF REB,5
Zach,McRoberts,DEF REB,41
Zach,McRoberts,REB,46
Zach,McRoberts,REB/G,2.4
Zach,McRoberts,PF,22
Zach,McRoberts,AST,12
Zach,McRoberts,TO,7
Zach,McRoberts,STL,14
Zach,McRoberts,BLK,0
Johnny,Jager,GP,5
Johnny,Jager,GS,0
Johnny,Jager,MIN,14
Johnny,Jager,MIN/G,2.8
Johnny,Jager,FGM,0
Johnny,Jager,FGA,2
Johnny,Jager,FG%,.000
Johnny,Jager,3PT,0
Johnny,Jager,3PTA,2
Johnny,Jager,3PT%,.000
Johnny,Jager,FT,0
Johnny,Jager,FTA,2
Johnny,Jager,FT%,.000
Johnny,Jager,PTS,0
Johnny,Jager,AVG,0.0
Johnny,Jager,OFF REB,0
Johnny,Jager,DEF REB,2
Johnny,Jager,REB,2
Johnny,Jager,REB/G,0.4
Johnny,Jager,PF,2
Johnny,Jager,AST,1
Johnny,Jager,TO,1
Johnny,Jager,STL,2
Johnny,Jager,BLK,0
Quentin,Taylor,GP,5
Quentin,Taylor,GS,0
Quentin,Taylor,MIN,7
Quentin,Taylor,MIN/G,1.4
Quentin,Taylor,FGM,0
Quentin,Taylor,FGA,1
Quentin,Taylor,FG%,.000
Quentin,Taylor,3PT,0
Quentin,Taylor,3PTA,0
Quentin,Taylor,3PT%,.000
Quentin,Taylor,FT,0
Quentin,Taylor,FTA,0
Quentin,Taylor,FT%,.000
Quentin,Taylor,PTS,0
Quentin,Taylor,AVG,0.0
Quentin,Taylor,OFF REB,0
Quentin,Taylor,DEF REB,3
Quentin,Taylor,REB,3
Quentin,Taylor,REB/G,0.6
Quentin,Taylor,PF,2
Quentin,Taylor,AST,0
Quentin,Taylor,TO,1
Quentin,Taylor,STL,1
Quentin,Taylor,BLK,0
