fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
JOSEPH,DANIELSJR.,20,"DB",Fr.,"5'8""",202 lbs,"Johns Creek, Ga.",Roswell,https://iuhoosiers.com/images/2018/8/10/Daniels_Joseph.jpg?width=80,2
COLE,GEST,20,RB,R-So.,"5'8""",194 lbs,"Lyndhurst, Ohio",St. Edward,https://iuhoosiers.com/images/2018/8/10/Gest_Cole.jpg?width=80,2
CHRIS,BOMBA,21,"WR",Fr.,"6'2""",173 lbs,"Bloomington, Ind.",Bloomington South,https://iuhoosiers.com/images/2018/9/24/Bomba_Chris_71.jpg?width=80,2
STEVIE,SCOTT,21,RB,Fr.,"6'2""",236 lbs,"Syracuse, N.Y.",Christian Brothers,https://iuhoosiers.com/images/2018/7/23/Scott_Stevie.jpg?width=80,2
WHOP,PHILYOR,22,WR,So.,"5'11""",180 lbs,"Tampa, Fla.",Plant,https://iuhoosiers.com/images/2018/8/9/Philyor_Whop.jpg?width=80,2
RONNIE,WALKERJR.,23,RB,Fr.,"5'11""",206 lbs,"Hopewell, Va.",Hopewell,https://iuhoosiers.com/images/2018/8/13/Walker_Ronnie.jpg?width=80,2
JAYLIN,WILLIAMS,23,DB,Fr.,"6'0""",179 lbs,"Memphis, Tenn.",Germantown,https://iuhoosiers.com/images/2018/7/22/Williams_Jaylin.jpg?width=80,2
MIKE,MAJETTE,24,RB,Sr.,"5'11""",215 lbs,"Woodbridge, Va.",Woodbridge Senior,https://iuhoosiers.com/images/2018/8/13/Majette_Michael.jpg?width=80,2
OWEN,STRIETER,24,DB,R-Fr.,"6'1""",192 lbs,"LaPorte, Ind.",LaPorte,https://iuhoosiers.com/images/2018/8/13/Strieter_Owen.jpg?width=80,2
LUKE,TIMIAN,25,WR,R-Sr.,"6'0""",195 lbs,"Southlake, Texas",Southlake Carroll,https://iuhoosiers.com/images/2018/8/9/Timian_Luke.jpg?width=80,2
CRAIG,NELSON,26,RB,R-Fr.,"5'10""",191 lbs,"Miami, Fla.",Booker T. Washington,https://iuhoosiers.com/images/2018/8/15/Nelon_Craig_53.jpg?width=80,2
DEVON,MATTHEWS,27,DB,Fr.,"6'2""",206 lbs,"Jacksonville, Fla.",Ribault,https://iuhoosiers.com/images/2018/7/22/Matthews_Devon.jpg?width=80,2
ASHON,RIGGINS,28,DB,Jr.,"6'0""",188 lbs,"Hamilton, Ohio",Hamilton,https://iuhoosiers.com/images/2017/7/21/Riggins_AShon_1.jpg?width=80,2
KHALIL,BRYANT,29,DB,Jr.,"5'10""",202 lbs,"Jacksonville, Fla.",First Coast,https://iuhoosiers.com/images/2018/8/7/Bryant_Khalil_1.jpg?width=80,2
BRADLEY,ELLIS,30,WR,Fr.,"6'2""",189 lbs,"Collierville, Tenn.",Briarcrest Christian,https://iuhoosiers.com/images/2018/8/2/Ellis_Bradley.jpg?width=80,2
